KOD;NAZEV;VUSC_KOD;KRAJ_1960_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
3201;Benešov;27;32;CZ0201;08.03.2017 00:00:00;;11.04.1960 00:00:00
3202;Beroun;27;32;CZ0202;22.03.2017 00:00:00;;11.04.1960 00:00:00
3701;Blansko;116;37;CZ0641;24.05.2017 00:00:00;;11.04.1960 00:00:00
3702;Brno-město;116;37;CZ0642;17.03.2017 00:00:00;;11.04.1960 00:00:00
3703;Brno-venkov;116;37;CZ0643;17.03.2017 00:00:00;;11.04.1960 00:00:00
3801;Bruntál;132;38;CZ0801;13.12.2016 00:00:00;;11.04.1960 00:00:00
3704;Břeclav;116;37;CZ0644;06.06.2015 00:00:00;;11.04.1960 00:00:00
3402;Cheb;51;34;CZ0411;25.10.2016 00:00:00;;11.04.1960 00:00:00
3503;Chomutov;60;35;CZ0422;11.05.2017 00:00:00;;11.04.1960 00:00:00
3603;Chrudim;94;36;CZ0531;29.03.2017 00:00:00;;11.04.1960 00:00:00
3401;Domažlice;43;34;CZ0321;31.05.2017 00:00:00;;11.04.1960 00:00:00
3502;Děčín;60;35;CZ0421;27.12.2016 00:00:00;;11.04.1960 00:00:00
3802;Frýdek-Místek;132;38;CZ0802;27.04.2017 00:00:00;;11.04.1960 00:00:00
3601;Havlíčkův Brod;108;36;CZ0631;08.02.2017 00:00:00;;11.04.1960 00:00:00
3100;Hlavní město Praha;19;31;CZ0100;23.11.2016 00:00:00;;11.04.1960 00:00:00
3706;Hodonín;116;37;CZ0645;25.04.2017 00:00:00;;11.04.1960 00:00:00
3602;Hradec Králové;86;36;CZ0521;06.04.2017 00:00:00;;11.04.1960 00:00:00
3504;Jablonec nad Nisou;78;35;CZ0512;21.06.2016 00:00:00;;11.04.1960 00:00:00
3811;Jeseník;124;38;CZ0711;31.05.2016 00:00:00;;01.01.1996 00:00:00
3707;Jihlava;108;37;CZ0632;29.05.2017 00:00:00;;11.04.1960 00:00:00
3303;Jindřichův Hradec;35;33;CZ0313;06.01.2017 00:00:00;;11.04.1960 00:00:00
3604;Jičín;86;36;CZ0522;22.12.2016 00:00:00;;11.04.1960 00:00:00
3403;Karlovy Vary;51;34;CZ0412;21.10.2016 00:00:00;;11.04.1960 00:00:00
3803;Karviná;132;38;CZ0803;31.03.2016 00:00:00;;11.04.1960 00:00:00
3203;Kladno;27;32;CZ0203;21.03.2017 00:00:00;;11.04.1960 00:00:00
3404;Klatovy;43;34;CZ0322;31.05.2017 00:00:00;;11.04.1960 00:00:00
3204;Kolín;27;32;CZ0204;30.05.2017 00:00:00;;11.04.1960 00:00:00
3708;Kroměříž;141;37;CZ0721;15.05.2017 00:00:00;;11.04.1960 00:00:00
3205;Kutná Hora;27;32;CZ0205;30.05.2017 00:00:00;;11.04.1960 00:00:00
3505;Liberec;78;35;CZ0513;21.06.2016 00:00:00;;11.04.1960 00:00:00
3506;Litoměřice;60;35;CZ0423;21.03.2017 00:00:00;;11.04.1960 00:00:00
3507;Louny;60;35;CZ0424;11.05.2017 00:00:00;;11.04.1960 00:00:00
3207;Mladá Boleslav;27;32;CZ0207;10.04.2017 00:00:00;;11.04.1960 00:00:00
3508;Most;60;35;CZ0425;06.12.2016 00:00:00;;11.04.1960 00:00:00
3206;Mělník;27;32;CZ0206;16.12.2016 00:00:00;;11.04.1960 00:00:00
3804;Nový Jičín;132;38;CZ0804;13.04.2017 00:00:00;;11.04.1960 00:00:00
3208;Nymburk;27;32;CZ0208;22.12.2016 00:00:00;;11.04.1960 00:00:00
3605;Náchod;86;36;CZ0523;27.03.2017 00:00:00;;11.04.1960 00:00:00
3805;Olomouc;124;38;CZ0712;15.05.2017 00:00:00;;11.04.1960 00:00:00
